alpha_1,alpha_2,lambda_1,lambda_2,dataset,noise_model,noise_level,coverage,width,score
1e-07,1e-07,1e-07,1e-07,Line,homoskedastic,0.01,1.0,3.125882668918247,1.5629413344591234
1e-07,1e-07,1e-07,1e-07,Line,homoskedastic,0.02,1.0,3.1412461396888474,1.5706230698444237
1e-07,1e-07,1e-07,1e-07,Line,homoskedastic,0.05,1.0,3.129613838647228,1.564806919323614
1e-07,1e-07,1e-07,1e-07,Line,homoskedastic,0.1,1.0,3.105906918289915,1.5529534591449574
1e-07,1e-07,1e-07,1e-07,Line,heteroskedastic,0.01,1.0,3.139464195287961,1.5697320976439806
1e-07,1e-07,1e-07,1e-07,Line,heteroskedastic,0.02,1.0,3.155423392353534,1.577711696176767
1e-07,1e-07,1e-07,1e-07,Line,heteroskedastic,0.05,1.0,3.116023131008549,1.5580115655042746
1e-07,1e-07,1e-07,1e-07,Line,heteroskedastic,0.1,1.0,3.0650905392038847,1.5325452696019424
1e-07,1e-07,1e-07,1e-07,Polynomial,homoskedastic,0.01,1.0,3.6607325635779535,1.8303662817889768
1e-07,1e-07,1e-07,1e-07,Polynomial,homoskedastic,0.02,1.0,3.4601373171484218,1.7300686585742109
1e-07,1e-07,1e-07,1e-07,Polynomial,homoskedastic,0.05,1.0,3.324151275709604,1.662075637854802
1e-07,1e-07,1e-07,1e-07,Polynomial,homoskedastic,0.1,1.0,2.508360498441986,1.254180249220993
1e-07,1e-07,1e-07,1e-07,Polynomial,heteroskedastic,0.01,1.0,3.5475622636403825,1.7737811318201913
1e-07,1e-07,1e-07,1e-07,Polynomial,heteroskedastic,0.02,1.0,3.438225636297999,1.7191128181489994
1e-07,1e-07,1e-07,1e-07,Polynomial,heteroskedastic,0.05,1.0,1.8078797850496666,0.9039398925248333
1e-07,1e-07,1e-07,1e-07,Polynomial,heteroskedastic,0.1,1.0,2.0835667192612664,1.0417833596306332
1e-07,1e-07,1e-07,1e-07,LennardJones,homoskedastic,0.01,1.0,2.0337356972402914,1.0168678486201457
1e-07,1e-07,1e-07,1e-07,LennardJones,homoskedastic,0.02,1.0,2.0512608671057198,1.0256304335528599
1e-07,1e-07,1e-07,1e-07,LennardJones,homoskedastic,0.05,1.0,2.0170792459885334,1.0085396229942667
1e-07,1e-07,1e-07,1e-07,LennardJones,homoskedastic,0.1,1.0,2.0945444998287397,1.0472722499143698
1e-07,1e-07,1e-07,1e-07,LennardJones,heteroskedastic,0.01,1.0,2.038417713221907,1.0192088566109534
1e-07,1e-07,1e-07,1e-07,LennardJones,heteroskedastic,0.02,1.0,1.9635560249520458,0.9817780124760229
1e-07,1e-07,1e-07,1e-07,LennardJones,heteroskedastic,0.05,1.0,2.029238640302697,1.0146193201513485
1e-07,1e-07,1e-07,1e-07,LennardJones,heteroskedastic,0.1,1.0,2.1327896098567756,1.0663948049283878
1e-07,1e-07,1e-07,1e-07,Shomate,homoskedastic,0.01,1.0,1.6015225637374295,0.8007612818687148
1e-07,1e-07,1e-07,1e-07,Shomate,homoskedastic,0.02,1.0,2.061135458667083,1.0305677293335416
1e-07,1e-07,1e-07,1e-07,Shomate,homoskedastic,0.05,1.0,1.7641491382491123,0.8820745691245562
1e-07,1e-07,1e-07,1e-07,Shomate,homoskedastic,0.1,1.0,2.1595556044049045,1.0797778022024522
1e-07,1e-07,1e-07,1e-07,Shomate,heteroskedastic,0.01,1.0,1.293834181727741,0.6469170908638705
1e-07,1e-07,1e-07,1e-07,Shomate,heteroskedastic,0.02,1.0,0.8817839503407925,0.44089197517039624
1e-07,1e-07,1e-07,1e-07,Shomate,heteroskedastic,0.05,1.0,0.8864237428682333,0.44321187143411667
1e-07,1e-07,1e-07,1e-07,Shomate,heteroskedastic,0.1,1.0,1.1944775026048502,0.5972387513024251
1e-07,1e-07,1e-07,1e-06,Line,homoskedastic,0.01,1.0,3.1258870930461593,1.5629435465230797
1e-07,1e-07,1e-07,1e-06,Line,homoskedastic,0.02,1.0,3.141250542207751,1.5706252711038755
1e-07,1e-07,1e-07,1e-06,Line,homoskedastic,0.05,1.0,3.129618258056794,1.564809129028397
