exp_id,dataset,noise_model,noise_level,uq_method,coverage,mean_width,rmse,mae,r2
Line_homoskedastic_noise01,Line,homoskedastic,0.01,Ensemble,1.0,0.6001623059613688,0.11516868163336119,0.09691163657977704,0.752147706164968
Line_homoskedastic_noise01,Line,homoskedastic,0.01,EnsembleCalibrated,0.95000005,0.34408492006001906,0.11516868163336119,0.09691163657977704,0.752147706164968
Line_homoskedastic_noise02,Line,homoskedastic,0.02,Ensemble,0.732,0.012488924551576255,0.005024764204444546,0.003973924213636179,0.999528886436532
Line_homoskedastic_noise02,Line,homoskedastic,0.02,EnsembleCalibrated,0.86,0.016744013418259145,0.005024764204444546,0.003973924213636179,0.999528886436532
Line_homoskedastic_noise05,Line,homoskedastic,0.05,Ensemble,0.814,0.0448070459014376,0.01210154216202682,0.00971420763501116,0.9972637309838915
Line_homoskedastic_noise05,Line,homoskedastic,0.05,EnsembleCalibrated,0.82400006,0.044908115958074285,0.01210154216202682,0.00971420763501116,0.9972637309838915
Line_homoskedastic_noise10,Line,homoskedastic,0.1,Ensemble,0.876,0.08599638950640244,0.024830350983930122,0.019802922726746296,0.988662839171193
Line_homoskedastic_noise10,Line,homoskedastic,0.1,EnsembleCalibrated,0.84400004,0.07632219352048777,0.024830350983930122,0.019802922726746296,0.988662839171193
Line_heteroskedastic_noise01,Line,heteroskedastic,0.01,Ensemble,0.82,0.016411212800975628,0.00545989322860482,0.004130778044025671,0.9994424073884575
Line_heteroskedastic_noise01,Line,heteroskedastic,0.01,EnsembleCalibrated,0.88400006,0.018276033741903532,0.00545989322860482,0.004130778044025671,0.9994424073884575
Line_heteroskedastic_noise02,Line,heteroskedastic,0.02,Ensemble,0.866,0.03707446200538207,0.012327891022255759,0.0089978509999393,0.9971730010622574
Line_heteroskedastic_noise02,Line,heteroskedastic,0.02,EnsembleCalibrated,0.89800006,0.039904297269382966,0.012327891022255759,0.0089978509999393,0.9971730010622574
Line_heteroskedastic_noise05,Line,heteroskedastic,0.05,Ensemble,0.926,0.08995805377723107,0.027198670860590295,0.01985553031817411,0.9860804427506008
Line_heteroskedastic_noise05,Line,heteroskedastic,0.05,EnsembleCalibrated,0.93200004,0.09230368378253066,0.027198670860590295,0.01985553031817411,0.9860804427506008
Line_heteroskedastic_noise10,Line,heteroskedastic,0.1,Ensemble,0.896,0.1845478239273617,0.05483371236066888,0.042218269392113046,0.9452253059156913
Line_heteroskedastic_noise10,Line,heteroskedastic,0.1,EnsembleCalibrated,0.938,0.20287243385043197,0.05483371236066888,0.042218269392113046,0.9452253059156913
Quadratic_homoskedastic_noise01,Quadratic,homoskedastic,0.01,Ensemble,0.812,0.016556346007488107,0.008231675820087964,0.0052201433487968,0.9992411494433641
Quadratic_homoskedastic_noise01,Quadratic,homoskedastic,0.01,EnsembleCalibrated,0.8880001,0.019318261924622448,0.008231675820087964,0.0052201433487968,0.9992411494433641
Quadratic_homoskedastic_noise02,Quadratic,homoskedastic,0.02,Ensemble,1.0,9.259093989233694,0.5722765478216298,0.4979252215681069,-2.6661042693861954
Quadratic_homoskedastic_noise02,Quadratic,homoskedastic,0.02,EnsembleCalibrated,1.0,4.265672140465251,0.5722765478216298,0.4979252215681069,-2.6661042693861954
Quadratic_homoskedastic_noise05,Quadratic,homoskedastic,0.05,Ensemble,1.0,11.546908936714255,1.322080134195463,1.2914805442164794,-18.481367580230295
Quadratic_homoskedastic_noise05,Quadratic,homoskedastic,0.05,EnsembleCalibrated,1.0,5.696333691943959,1.322080134195463,1.2914805442164794,-18.481367580230295
Quadratic_homoskedastic_noise10,Quadratic,homoskedastic,0.1,Ensemble,0.862,0.11240549814242505,0.03951578951608897,0.02971230804747542,0.9825771226565096
Quadratic_homoskedastic_noise10,Quadratic,homoskedastic,0.1,EnsembleCalibrated,0.88600004,0.1306320203181721,0.03951578951608897,0.02971230804747542,0.9825771226565096
Quadratic_heteroskedastic_noise01,Quadratic,heteroskedastic,0.01,Ensemble,1.0,8.747960982422203,0.4668589403418875,0.42569868273455935,-1.4410477468246068
