dataset,noise_model,noise_level,uq_method,n_train,n_test,coverage,rmse,mae,r2,mean_width,normalized_width,interval_score,miscalibration_area,coverage_extrap_low,coverage_interpolation,coverage_extrap_high,seed
Line,homoskedastic,0.01,HatMatrix,51,500,0.974,0.0023483431337091346,0.0018783984727088643,0.9998969501741486,0.010174151888377479,0.01272467327597834,0.010905520635925184,0.022744444444444466,0.97,0.9733333333333334,0.98,1111743708
Line,homoskedastic,0.01,Bayesian,51,500,1.0,0.0023484986652137583,0.00187851352308358,0.9998969365236519,3.125884353701471,3.909501011556766,3.125884353701471,0.4049499999999999,1.0,1.0,1.0,1111743708
Line,homoskedastic,0.01,Conformal,51,500,0.996,0.0023509835059150703,0.0018810126002258643,0.9998967183146261,0.012295721533583734,0.015378091552377604,0.012352271895716815,0.08712111111111112,1.0,0.9933333333333333,1.0,1111743708
Line,homoskedastic,0.02,HatMatrix,51,500,0.89,0.004720168607979848,0.003754777965995159,0.9995842720160634,0.015562897483330007,0.019329721695418075,0.023713737324861518,0.05646555555555555,0.89,0.89,0.89,3725846674
Line,homoskedastic,0.02,Bayesian,51,500,1.0,0.004720074822697651,0.0037547246162187697,0.9995842885361422,3.1412477882738923,3.901551468081103,3.1412477882738923,0.4049499999999999,1.0,1.0,1.0,3725846674
Line,homoskedastic,0.02,Conformal,51,500,0.898,0.004720265710946395,0.003755136693567618,0.9995842549112355,0.01620663358661387,0.020129266878768308,0.022925572891898782,0.03569888888888887,0.89,0.8966666666666666,0.91,3725846674
Line,homoskedastic,0.05,HatMatrix,51,500,0.97,0.011798883290355196,0.009463732385258015,0.997398887315868,0.04943870276473099,0.060143380007178435,0.0557966475564379,0.010800864197530874,0.97,0.9666666666666667,0.98,593519697
Line,homoskedastic,0.05,Bayesian,51,500,1.0,0.011799051066317422,0.009463729474550264,0.9973988133415307,3.129615513069031,3.807253114520422,3.129615513069031,0.4049499999999999,1.0,1.0,1.0,593519697
Line,homoskedastic,0.05,Conformal,51,500,0.976,0.011799497572345188,0.009463738042197961,0.9973986164668004,0.05265257428881145,0.06405313260094823,0.05727715350507504,0.03451222222222224,0.98,0.97,0.99,593519697
Line,homoskedastic,0.1,HatMatrix,51,500,0.944,0.023686602888696166,0.018907768925960133,0.9896832204934731,0.08842827715229322,0.10216426704088956,0.10854596139737077,0.025216666666666644,0.92,0.95,0.95,628543156
Line,homoskedastic,0.1,Bayesian,51,500,1.0,0.02369326612399524,0.018912052682142202,0.9896774152879985,3.105908649043551,3.5883643880001226,3.105908649043551,0.4049499999999999,1.0,1.0,1.0,628543156
Line,homoskedastic,0.1,Conformal,51,500,0.972,0.02369760171925241,0.01891985156635716,0.9896736371137385,0.09705445998584968,0.11213039637114017,0.10900121118102504,0.01552555555555558,0.95,0.98,0.97,628543156
Line,heteroskedastic,0.01,HatMatrix,51,500,0.908,0.005471739383244677,0.004056670367963927,0.9994399851821213,0.019091548073675305,0.023541665489735127,0.029749209959077483,0.028414074074074064,1.0,0.94,0.72,1523747422
Line,heteroskedastic,0.01,Bayesian,51,500,1.0,0.0054715249596529805,0.00405644849364516,0.9994400290723826,3.1394658453768085,3.8712551995832616,3.1394658453768085,0.4049499999999999,1.0,1.0,1.0,1523747422
Line,heteroskedastic,0.01,Conformal,51,500,0.968,0.005472223745147435,0.004056454190483577,0.9994398860319866,0.024959229116818357,0.03077706535280875,0.029272380737522856,0.08722000000000002,1.0,0.98,0.9,1523747422
Line,heteroskedastic,0.02,HatMatrix,51,500,0.934,0.012178686943007704,0.008900849394440705,0.9972410171175672,0.047700967200574894,0.05693373140584912,0.0654329864704852,0.04847753086419754,1.0,0.9533333333333334,0.81,2188025340
Line,heteroskedastic,0.02,Bayesian,51,500,1.0,0.012177260492189538,0.008898500025066224,0.9972416633814754,3.1554250069282035,3.766173525588068,3.1554250069282035,0.4049499999999999,1.0,1.0,1.0,2188025340
Line,heteroskedastic,0.02,Conformal,51,500,0.988,0.012178637984772674,0.008902396376817945,0.9972410392997058,0.06542867212601865,0.0780927235584275,0.07029146711277696,0.13478555555555555,1.0,0.9933333333333333,0.96,2188025340
Line,heteroskedastic,0.05,HatMatrix,51,500,0.944,0.02710634069889089,0.01991842933860735,0.9861747865940972,0.108127007616848,0.12828054157026572,0.14507864843509838,0.05045530864197533,1.0,0.9566666666666667,0.85,1368367507
Line,heteroskedastic,0.05,Bayesian,51,500,1.0,0.027104069592587123,0.01991649709602494,0.9861771031896348,3.1160248403538713,3.696813246542777,3.1160248403538713,0.4047522222222222,1.0,1.0,1.0,1368367507
Line,heteroskedastic,0.05,Conformal,51,500,0.97,0.027101432784605396,0.019914152449642012,0.9861797925681863,0.13402109096118062,0.15900096108513084,0.14819174924438475,0.1140188888888889,1.0,0.9766666666666667,0.92,1368367507
Line,heteroskedastic,0.1,HatMatrix,51,500,0.946,0.05311795557607834,0.039746170973667796,0.9485994975427781,0.22125259747340767,0.23779549000243352,0.2691477869175525,0.05203753086419756,1.0,0.96,0.85,953380849
Line,heteroskedastic,0.1,Bayesian,51,500,1.0,0.05313286388437687,0.0397517378970058,0.9485706409324383,3.065092384283606,3.2942670673552192,3.065092384283606,0.40129111111111104,1.0,1.0,1.0,953380849
Line,heteroskedastic,0.1,Conformal,51,500,0.982,0.05309422569072285,0.03973457348669594,0.9486454125471111,0.27553369158787866,0.29613514124368157,0.2885259827069071,0.11500777777777779,1.0,0.99,0.94,953380849
