,,,,coverage,coverage,rmse,rmse,mean_width,mean_width
,,,,mean,std,mean,std,mean,std
dataset,noise_model,noise_level,uq_method,,,,,,
LennardJones,heteroskedastic,0.01,Bayesian,1.0,,0.002,,2.0384,
LennardJones,heteroskedastic,0.01,Conformal,0.968,,0.0019,,0.0064,
LennardJones,heteroskedastic,0.01,HatMatrix,0.95,,0.0019,,0.0073,
LennardJones,heteroskedastic,0.02,Bayesian,1.0,,0.0134,,1.9635,
LennardJones,heteroskedastic,0.02,Conformal,0.864,,0.0126,,0.0104,
LennardJones,heteroskedastic,0.02,HatMatrix,0.914,,0.0127,,0.0151,
LennardJones,heteroskedastic,0.05,Bayesian,1.0,,0.0116,,2.0292,
LennardJones,heteroskedastic,0.05,Conformal,0.96,,0.0087,,0.0302,
LennardJones,heteroskedastic,0.05,HatMatrix,0.916,,0.0087,,0.041,
LennardJones,heteroskedastic,0.1,Bayesian,1.0,,0.0162,,2.1328,
LennardJones,heteroskedastic,0.1,Conformal,0.956,,0.0282,,0.06,
LennardJones,heteroskedastic,0.1,HatMatrix,0.962,,0.0295,,0.092,
LennardJones,homoskedastic,0.01,Bayesian,1.0,,0.0029,,2.0337,
LennardJones,homoskedastic,0.01,Conformal,0.532,,0.003,,0.002,
LennardJones,homoskedastic,0.01,HatMatrix,0.536,,0.0029,,0.0026,
LennardJones,homoskedastic,0.02,Bayesian,1.0,,0.002,,2.0512,
LennardJones,homoskedastic,0.02,Conformal,0.622,,0.002,,0.0042,
LennardJones,homoskedastic,0.02,HatMatrix,0.584,,0.002,,0.0054,
LennardJones,homoskedastic,0.05,Bayesian,1.0,,0.0102,,2.0171,
LennardJones,homoskedastic,0.05,Conformal,0.49,,0.01,,0.0108,
LennardJones,homoskedastic,0.05,HatMatrix,0.53,,0.0098,,0.0124,
LennardJones,homoskedastic,0.1,Bayesian,1.0,,0.0099,,2.0945,
LennardJones,homoskedastic,0.1,Conformal,0.736,,0.0101,,0.029,
LennardJones,homoskedastic,0.1,HatMatrix,0.606,,0.0101,,0.0296,
Line,heteroskedastic,0.01,Bayesian,1.0,,0.0055,,3.1395,
Line,heteroskedastic,0.01,Conformal,0.968,,0.0055,,0.025,
Line,heteroskedastic,0.01,HatMatrix,0.908,,0.0055,,0.0191,
Line,heteroskedastic,0.02,Bayesian,1.0,,0.0122,,3.1554,
Line,heteroskedastic,0.02,Conformal,0.988,,0.0122,,0.0654,
Line,heteroskedastic,0.02,HatMatrix,0.934,,0.0122,,0.0477,
Line,heteroskedastic,0.05,Bayesian,1.0,,0.0271,,3.116,
Line,heteroskedastic,0.05,Conformal,0.97,,0.0271,,0.134,
Line,heteroskedastic,0.05,HatMatrix,0.944,,0.0271,,0.1081,
Line,heteroskedastic,0.1,Bayesian,1.0,,0.0531,,3.0651,
Line,heteroskedastic,0.1,Conformal,0.982,,0.0531,,0.2755,
Line,heteroskedastic,0.1,HatMatrix,0.946,,0.0531,,0.2213,
Line,homoskedastic,0.01,Bayesian,1.0,,0.0023,,3.1259,
Line,homoskedastic,0.01,Conformal,0.996,,0.0024,,0.0123,
Line,homoskedastic,0.01,HatMatrix,0.974,,0.0023,,0.0102,
Line,homoskedastic,0.02,Bayesian,1.0,,0.0047,,3.1412,
Line,homoskedastic,0.02,Conformal,0.898,,0.0047,,0.0162,
Line,homoskedastic,0.02,HatMatrix,0.89,,0.0047,,0.0156,
Line,homoskedastic,0.05,Bayesian,1.0,,0.0118,,3.1296,
Line,homoskedastic,0.05,Conformal,0.976,,0.0118,,0.0527,
Line,homoskedastic,0.05,HatMatrix,0.97,,0.0118,,0.0494,
Line,homoskedastic,0.1,Bayesian,1.0,,0.0237,,3.1059,
Line,homoskedastic,0.1,Conformal,0.972,,0.0237,,0.0971,
Line,homoskedastic,0.1,HatMatrix,0.944,,0.0237,,0.0884,
Polynomial,heteroskedastic,0.01,Bayesian,1.0,,0.0036,,3.5474,
Polynomial,heteroskedastic,0.01,Conformal,0.95,,0.0036,,0.0147,
Polynomial,heteroskedastic,0.01,HatMatrix,0.936,,0.0036,,0.0137,
Polynomial,heteroskedastic,0.02,Bayesian,1.0,,0.0079,,3.4381,
Polynomial,heteroskedastic,0.02,Conformal,0.958,,0.0077,,0.0362,
Polynomial,heteroskedastic,0.02,HatMatrix,0.944,,0.0077,,0.0306,
Polynomial,heteroskedastic,0.05,Bayesian,1.0,,0.0284,,1.8079,
Polynomial,heteroskedastic,0.05,Conformal,0.95,,0.0273,,0.1137,
