Dataset,Noise Model,Noise Level,Method,Coverage,RMSE,Mean Width,R²
Line,Homoskedastic,1%,GP,0.947,0.0026,0.0109,0.9999
Line,Homoskedastic,2%,GP,0.810,0.0081,0.0185,0.9987
Line,Homoskedastic,5%,GP,0.968,0.0124,0.0527,0.9970
Line,Homoskedastic,10%,GP,0.840,0.0318,0.0859,0.9806
Line,Heteroskedastic,1%,GP,0.928,0.0055,0.0211,0.9994
Line,Heteroskedastic,2%,GP,0.952,0.0121,0.0514,0.9972
Line,Heteroskedastic,5%,GP,0.949,0.0274,0.1124,0.9853
Line,Heteroskedastic,10%,GP,0.954,0.0524,0.2247,0.9477
Quadratic,Homoskedastic,1%,GP,0.876,0.0042,0.0121,0.9998
Quadratic,Homoskedastic,2%,GP,0.941,0.0070,0.0264,0.9994
Quadratic,Homoskedastic,5%,GP,0.910,0.0148,0.0527,0.9975
Quadratic,Homoskedastic,10%,GP,0.918,0.0388,0.1426,0.9824
Quadratic,Heteroskedastic,1%,GP,0.956,0.0126,0.0516,0.9982
Quadratic,Heteroskedastic,2%,GP,0.950,0.0262,0.1002,0.9921
Quadratic,Heteroskedastic,5%,GP,0.893,0.0654,0.2095,0.9518
Quadratic,Heteroskedastic,10%,GP,0.949,0.1366,0.5032,0.8111
Cubic,Homoskedastic,1%,GP,0.966,0.0056,0.0226,0.9999
Cubic,Homoskedastic,2%,GP,0.802,0.0129,0.0323,0.9992
Cubic,Homoskedastic,5%,GP,0.905,0.0308,0.1002,0.9955
Cubic,Homoskedastic,10%,GP,0.876,0.0529,0.1572,0.9868
Cubic,Heteroskedastic,1%,GP,0.922,0.0150,0.0464,0.9989
Cubic,Heteroskedastic,2%,GP,0.928,0.0215,0.0806,0.9978
Cubic,Heteroskedastic,5%,GP,0.928,0.0543,0.1913,0.9860
Cubic,Heteroskedastic,10%,GP,0.916,0.1063,0.3744,0.9487
ExponentialDecay,Homoskedastic,1%,GP,0.850,0.0153,0.0262,0.9991
ExponentialDecay,Homoskedastic,2%,GP,0.914,0.0145,0.0430,0.9992
ExponentialDecay,Homoskedastic,5%,GP,0.813,0.0404,0.0969,0.9936
ExponentialDecay,Homoskedastic,10%,GP,0.764,0.0943,0.1680,0.9658
ExponentialDecay,Heteroskedastic,1%,GP,0.918,0.0265,0.0674,0.9972
ExponentialDecay,Heteroskedastic,2%,GP,0.983,0.0293,0.1370,0.9966
ExponentialDecay,Heteroskedastic,5%,GP,0.884,0.1062,0.2501,0.9563
ExponentialDecay,Heteroskedastic,10%,GP,0.903,0.1736,0.4985,0.8901
LogisticGrowth,Homoskedastic,1%,GP,0.992,0.0117,0.0347,0.9991
LogisticGrowth,Homoskedastic,2%,GP,0.975,0.0100,0.0585,0.9993
LogisticGrowth,Homoskedastic,5%,GP,0.962,0.0353,0.1157,0.9915
LogisticGrowth,Homoskedastic,10%,GP,0.933,0.0483,0.1684,0.9841
LogisticGrowth,Heteroskedastic,1%,GP,0.926,0.0086,0.0421,0.9995
LogisticGrowth,Heteroskedastic,2%,GP,0.950,0.0171,0.0767,0.9980
LogisticGrowth,Heteroskedastic,5%,GP,0.893,0.0408,0.1337,0.9887
LogisticGrowth,Heteroskedastic,10%,GP,0.912,0.0762,0.2626,0.9615
MichaelisMenten,Homoskedastic,1%,GP,0.741,0.0108,0.0082,0.9968
MichaelisMenten,Homoskedastic,2%,GP,0.693,0.0167,0.0166,0.9923
MichaelisMenten,Homoskedastic,5%,GP,0.817,0.0206,0.0373,0.9883
MichaelisMenten,Homoskedastic,10%,GP,0.827,0.0331,0.0724,0.9702
MichaelisMenten,Heteroskedastic,1%,GP,0.823,0.0183,0.0313,0.9907
MichaelisMenten,Heteroskedastic,2%,GP,0.890,0.0255,0.0638,0.9820
MichaelisMenten,Heteroskedastic,5%,GP,0.842,0.0506,0.1184,0.9303
MichaelisMenten,Heteroskedastic,10%,GP,0.890,0.0933,0.2804,0.7808
Gaussian,Homoskedastic,1%,GP,0.888,0.0069,0.0294,0.9996
Gaussian,Homoskedastic,2%,GP,0.836,0.0100,0.0505,0.9992
Gaussian,Homoskedastic,5%,GP,0.834,0.0207,0.0765,0.9968
Gaussian,Homoskedastic,10%,GP,0.760,0.0516,0.1265,0.9802
Gaussian,Heteroskedastic,1%,GP,0.931,0.0055,0.0345,0.9998
Gaussian,Heteroskedastic,2%,GP,0.922,0.0145,0.0655,0.9984
Gaussian,Heteroskedastic,5%,GP,0.714,0.0503,0.1096,0.9810
Gaussian,Heteroskedastic,10%,GP,0.749,0.0825,0.1669,0.9498
