Dataset,Noise Model,Noise Level,Method,Coverage,RMSE,Mean Width,R²
Line,Homoskedastic,1%,NNBR,0.893,0.0025,0.0082,0.9999
Line,Homoskedastic,2%,NNBR,0.813,0.0049,0.0133,0.9995
Line,Homoskedastic,5%,NNBR,0.943,0.0122,0.0457,0.9971
Line,Homoskedastic,10%,NNBR,0.912,0.0235,0.0826,0.9894
Line,Heteroskedastic,1%,NNBR,0.861,0.0054,0.0157,0.9994
Line,Heteroskedastic,2%,NNBR,0.821,0.0120,0.0309,0.9972
Line,Heteroskedastic,5%,NNBR,0.810,0.0266,0.0679,0.9860
Line,Heteroskedastic,10%,NNBR,0.964,0.0533,0.2461,0.9458
Quadratic,Homoskedastic,1%,NNBR,0.855,0.0047,0.0118,0.9997
Quadratic,Homoskedastic,2%,NNBR,0.935,0.0068,0.0244,0.9995
Quadratic,Homoskedastic,5%,NNBR,0.802,0.0165,0.0434,0.9968
Quadratic,Homoskedastic,10%,NNBR,0.747,0.0391,0.0841,0.9822
Quadratic,Heteroskedastic,1%,NNBR,0.983,0.0123,0.0606,0.9982
Quadratic,Heteroskedastic,2%,NNBR,0.825,0.0258,0.0664,0.9923
Quadratic,Heteroskedastic,5%,NNBR,0.870,0.0582,0.1774,0.9619
Quadratic,Heteroskedastic,10%,NNBR,0.930,0.1333,0.4717,0.8199
Cubic,Homoskedastic,1%,NNBR,0.899,0.0100,0.0248,0.9995
Cubic,Homoskedastic,2%,NNBR,0.754,0.0194,0.0332,0.9982
Cubic,Homoskedastic,5%,NNBR,0.861,0.0338,0.0968,0.9946
Cubic,Homoskedastic,10%,NNBR,0.865,0.0524,0.1587,0.9870
Cubic,Heteroskedastic,1%,NNBR,0.876,0.0148,0.0410,0.9990
Cubic,Heteroskedastic,2%,NNBR,0.930,0.0196,0.0806,0.9982
Cubic,Heteroskedastic,5%,NNBR,0.870,0.0510,0.1297,0.9876
Cubic,Heteroskedastic,10%,NNBR,0.872,0.0985,0.2579,0.9560
ExponentialDecay,Homoskedastic,1%,NNBR,0.834,0.0119,0.0197,0.9994
ExponentialDecay,Homoskedastic,2%,NNBR,0.813,0.0126,0.0302,0.9994
ExponentialDecay,Homoskedastic,5%,NNBR,0.939,0.0288,0.1075,0.9967
ExponentialDecay,Homoskedastic,10%,NNBR,0.796,0.0693,0.1545,0.9815
ExponentialDecay,Heteroskedastic,1%,NNBR,0.747,0.0238,0.0318,0.9978
ExponentialDecay,Heteroskedastic,2%,NNBR,0.821,0.0254,0.0579,0.9975
ExponentialDecay,Heteroskedastic,5%,NNBR,0.918,0.0633,0.2205,0.9845
ExponentialDecay,Heteroskedastic,10%,NNBR,0.895,0.1670,0.4741,0.8983
LogisticGrowth,Homoskedastic,1%,NNBR,0.832,0.1154,0.2893,0.9084
LogisticGrowth,Homoskedastic,2%,NNBR,0.657,0.1088,0.1819,0.9186
LogisticGrowth,Homoskedastic,5%,NNBR,0.710,0.1225,0.2013,0.8976
LogisticGrowth,Homoskedastic,10%,NNBR,0.813,0.1101,0.2843,0.9175
LogisticGrowth,Heteroskedastic,1%,NNBR,0.771,0.1125,0.2365,0.9135
LogisticGrowth,Heteroskedastic,2%,NNBR,0.790,0.0276,0.0522,0.9948
LogisticGrowth,Heteroskedastic,5%,NNBR,0.650,0.1296,0.1846,0.8861
LogisticGrowth,Heteroskedastic,10%,NNBR,0.844,0.1269,0.3444,0.8933
MichaelisMenten,Homoskedastic,1%,NNBR,0.623,0.0115,0.0044,0.9963
MichaelisMenten,Homoskedastic,2%,NNBR,0.646,0.0189,0.0120,0.9901
MichaelisMenten,Homoskedastic,5%,NNBR,0.737,0.0224,0.0283,0.9861
MichaelisMenten,Homoskedastic,10%,NNBR,0.819,0.0326,0.0720,0.9711
MichaelisMenten,Heteroskedastic,1%,NNBR,0.596,0.0188,0.0137,0.9902
MichaelisMenten,Heteroskedastic,2%,NNBR,0.770,0.0324,0.0497,0.9711
MichaelisMenten,Heteroskedastic,5%,NNBR,0.766,0.0468,0.0978,0.9404
MichaelisMenten,Heteroskedastic,10%,NNBR,0.850,0.0732,0.2123,0.8651
Gaussian,Homoskedastic,1%,NNBR,0.490,0.1067,0.0945,0.9139
Gaussian,Homoskedastic,2%,NNBR,0.347,0.1297,0.0486,0.8716
Gaussian,Homoskedastic,5%,NNBR,0.579,0.1147,0.1549,0.9005
Gaussian,Homoskedastic,10%,NNBR,0.566,0.1991,0.1772,0.7055
Gaussian,Heteroskedastic,1%,NNBR,0.509,0.0163,0.0127,0.9980
Gaussian,Heteroskedastic,2%,NNBR,0.507,0.0531,0.0360,0.9785
Gaussian,Heteroskedastic,5%,NNBR,0.583,0.0917,0.0659,0.9367
Gaussian,Heteroskedastic,10%,NNBR,0.691,0.0718,0.0951,0.9620
