Dataset,Noise Model,Noise Level,Method,Coverage,RMSE,Mean Width,R²
Line,Homoskedastic,1%,NNGMM,0.566,0.0064,0.0056,0.9992
Line,Homoskedastic,2%,NNGMM,0.747,0.0110,0.0141,0.9976
Line,Homoskedastic,5%,NNGMM,0.720,0.0278,0.0435,0.9849
Line,Homoskedastic,10%,NNGMM,0.756,0.0323,0.0740,0.9799
Line,Heteroskedastic,1%,NNGMM,0.787,0.0099,0.0176,0.9981
Line,Heteroskedastic,2%,NNGMM,0.817,0.0227,0.0437,0.9900
Line,Heteroskedastic,5%,NNGMM,0.790,0.0651,0.0998,0.9166
Line,Heteroskedastic,10%,NNGMM,0.867,0.0668,0.2054,0.9149
Quadratic,Homoskedastic,1%,NNGMM,0.958,0.0071,0.0312,0.9994
Quadratic,Homoskedastic,2%,NNGMM,0.491,0.4472,0.3110,-1.3359
Quadratic,Homoskedastic,5%,NNGMM,0.579,0.4156,0.1869,-1.0071
Quadratic,Homoskedastic,10%,NNGMM,0.829,0.0823,0.1218,0.9210
Quadratic,Heteroskedastic,1%,NNGMM,0.737,0.0546,0.0464,0.9652
Quadratic,Heteroskedastic,2%,NNGMM,0.505,0.9530,0.9994,-9.4764
Quadratic,Heteroskedastic,5%,NNGMM,0.642,0.2725,0.1829,0.1641
Quadratic,Heteroskedastic,10%,NNGMM,0.638,1.0091,0.4385,-9.3161
Cubic,Homoskedastic,1%,NNGMM,0.520,0.2660,0.0700,0.6642
Cubic,Homoskedastic,2%,NNGMM,0.438,0.1349,0.0658,0.9139
Cubic,Homoskedastic,5%,NNGMM,0.446,3.1868,0.6967,-47.0732
Cubic,Homoskedastic,10%,NNGMM,0.636,3.8913,0.1201,-70.5125
Cubic,Heteroskedastic,1%,NNGMM,0.507,0.6672,0.4275,-1.1193
Cubic,Heteroskedastic,2%,NNGMM,0.625,0.7295,0.2420,-1.5197
Cubic,Heteroskedastic,5%,NNGMM,0.541,1.2743,0.7843,-6.7220
Cubic,Heteroskedastic,10%,NNGMM,0.608,0.8083,0.4971,-1.9626
ExponentialDecay,Homoskedastic,1%,NNGMM,0.895,0.0059,0.0193,0.9999
ExponentialDecay,Homoskedastic,2%,NNGMM,0.448,0.1921,0.0686,0.8552
ExponentialDecay,Homoskedastic,5%,NNGMM,0.436,0.4791,0.1829,0.0988
ExponentialDecay,Homoskedastic,10%,NNGMM,0.400,7.5516,1.9685,-218.3871
ExponentialDecay,Heteroskedastic,1%,NNGMM,0.516,1.2344,0.5196,-4.9689
ExponentialDecay,Heteroskedastic,2%,NNGMM,0.444,5.3555,0.6950,-111.8694
ExponentialDecay,Heteroskedastic,5%,NNGMM,0.459,4.1777,2.4430,-66.5540
ExponentialDecay,Heteroskedastic,10%,NNGMM,0.745,0.9839,0.4418,-2.5300
LogisticGrowth,Homoskedastic,1%,NNGMM,0.739,0.0591,0.0201,0.9760
LogisticGrowth,Homoskedastic,2%,NNGMM,0.697,0.0584,0.0309,0.9766
LogisticGrowth,Homoskedastic,5%,NNGMM,0.907,0.0320,0.0886,0.9930
LogisticGrowth,Homoskedastic,10%,NNGMM,0.878,0.0462,0.1382,0.9855
LogisticGrowth,Heteroskedastic,1%,NNGMM,0.716,0.0394,0.0227,0.9894
LogisticGrowth,Heteroskedastic,2%,NNGMM,0.427,1.4574,0.2136,-13.5476
LogisticGrowth,Heteroskedastic,5%,NNGMM,0.676,0.1121,0.0967,0.9148
LogisticGrowth,Heteroskedastic,10%,NNGMM,0.775,0.1251,0.2103,0.8963
MichaelisMenten,Homoskedastic,1%,NNGMM,0.522,0.0332,0.0519,0.9694
MichaelisMenten,Homoskedastic,2%,NNGMM,0.623,0.0081,0.0095,0.9982
MichaelisMenten,Homoskedastic,5%,NNGMM,0.653,0.0414,0.0473,0.9528
MichaelisMenten,Homoskedastic,10%,NNGMM,0.503,0.2606,0.0688,-0.8431
MichaelisMenten,Heteroskedastic,1%,NNGMM,0.530,0.0808,0.0508,0.8186
MichaelisMenten,Heteroskedastic,2%,NNGMM,0.690,0.0197,0.0371,0.9894
MichaelisMenten,Heteroskedastic,5%,NNGMM,0.912,0.0296,0.1020,0.9761
MichaelisMenten,Heteroskedastic,10%,NNGMM,0.710,0.9025,1.1553,-19.5251
Gaussian,Homoskedastic,1%,NNGMM,0.549,1.3181,0.1176,-12.1542
Gaussian,Homoskedastic,2%,NNGMM,0.261,0.2901,0.0249,0.3581
Gaussian,Homoskedastic,5%,NNGMM,0.375,1.2874,0.1173,-11.5274
Gaussian,Homoskedastic,10%,NNGMM,0.322,5.4287,0.6163,-218.0045
Gaussian,Heteroskedastic,1%,NNGMM,0.434,0.9290,0.2583,-5.5297
Gaussian,Heteroskedastic,2%,NNGMM,0.432,5.0811,1.0264,-195.5778
Gaussian,Heteroskedastic,5%,NNGMM,0.402,1.6721,0.1423,-20.0678
Gaussian,Heteroskedastic,10%,NNGMM,0.446,2.1415,0.2540,-32.8400
